دری,صنف اول,تعلیمات اسلامی,درس سی هفتم,قبله ما جلسه 56,https://www.youtube.com/embed/LFSszdegJPQ
دری,صنف اول,تعلیمات اسلامی,درس سی هفتم,قبله ما جلسه 57,https://www.youtube.com/embed/aabPwcuPNQo
دری,صنف اول,ریاضی,درس اول,معرفی کتاب,https://www.youtube.com/embed/3vu4XVBRbO4
دری,صنف اول,ریاضی,درس اول,جلسه چهارم دوره آماده گی,https://www.youtube.com/embed/eLwUqZ5dCa4
دری,صنف اول,ریاضی,درس اول,جلسه پنجم دوره آماده گی,https://www.youtube.com/embed/gDjzQiBRAuY
دری,صنف اول,ریاضی,درس دوم,یک,https://www.youtube.com/embed/jZmPAPAPW5g
دری,صنف اول,ریاضی,درس دوم,جلسه دوم عدد یک,https://www.youtube.com/embed/8BdECunbcMo
دری,صنف اول,ریاضی,درس دوم,جلسه سوم عدد یک,https://www.youtube.com/embed/DVqb0GeNcWE
دری,صنف اول,ریاضی,درس سوم,دو,https://www.youtube.com/embed/NRKjou0wuGk
دری,صنف اول,ریاضی,درس سوم,جلسه دوم عدد دو,https://www.youtube.com/embed/phntHzSKtcE
دری,صنف اول,ریاضی,درس سوم,جلسه دوم عدد سه,https://www.youtube.com/embed/EOW8bvT_Pm0
دری,صنف اول,ریاضی,درس سوم,جلسه سوم عدد سه,https://www.youtube.com/embed/uMxyW_VNpEc
دری,صنف اول,ریاضی,درس سوم,جلسه سوم عدد دو,https://www.youtube.com/embed/quRG_omeHNs
دری,صنف اول,ریاضی,درس چهارم,سه,https://www.youtube.com/embed/RcT1AL0y8CE
دری,صنف اول,ریاضی,درس چهارم,جلسه دوم عدد چهار,https://www.youtube.com/embed/sRg5Vd5TqSU
دری,صنف اول,ریاضی,درس چهارم,جلسه سوم عدد چهار,https://www.youtube.com/embed/RARAS9HtFi0
دری,صنف اول,ریاضی,درس پنجم,چهار,https://www.youtube.com/embed/Jws2wpihoOA
دری,صنف اول,ریاضی,درس پنجم,جلسه اول مقایسه اعداد با اشیا,https://www.youtube.com/embed/xyWrbg5pSkE
دری,صنف اول,ریاضی,درس پنجم,جلسه دوم عدد پنج,https://www.youtube.com/embed/ClcfHCwioGw
دری,صنف اول,ریاضی,درس پنجم,جلسه سوم عدد پنج,https://www.youtube.com/embed/C_78xopWhDI
دری,صنف اول,ریاضی,درس ششم,پنج,https://www.youtube.com/embed/VXQi1JhZjSI
دری,صنف اول,ریاضی,درس ششم,شناخت علایم جلسه 4,https://www.youtube.com/embed/Yh_a-YQruKI
دری,صنف اول,ریاضی,درس ششم,مقایسه و شمار کردن جلسه 16,https://www.youtube.com/embed/0IrSOnXwSQU
دری,صنف اول,ریاضی,درس ششم,مقایسه و شمار کردن جلسه 17,https://www.youtube.com/embed/Cvdn0n11_W4
دری,صنف اول,ریاضی,درس ششم,شناختن مساوی و کم و زیاد جلسه 25,https://www.youtube.com/embed/0PpV5CbMHSU
دری,صنف اول,ریاضی,درس ششم,شناختن مساوی و کم و زیاد جلسه 26,https://www.youtube.com/embed/tnvv9qmxiNY
دری,صنف اول,ریاضی,درس ششم,شناختن مساوی و کم و زیاد جلسه 27,https://www.youtube.com/embed/vfGoj7hcXiU
دری,صنف اول,ریاضی,درس هفتم,شناختن مساوی و کم و زیاد و علایم جلسه 30,https://www.youtube.com/embed/-91fTdmBO3k
دری,صنف اول,ریاضی,درس هفتم,شناختن و نوشتن علایم جلسه 31,https://www.youtube.com/embed/42-qBCX7CrY
دری,صنف اول,ریاضی,درس هفتم,مشق و تمرین علایم = جلسه 38,https://www.youtube.com/embed/zNGd7SNKp_s
دری,صنف اول,ریاضی,درس هفتم,مشق و تمرین علایم = جلسه 39,https://www.youtube.com/embed/t_LyoNTJC54
دری,صنف اول,ریاضی,درس هفتم,-مشق و تمرین علایم = جلسه 40,https://www.youtube.com/embed/yX4OjQQ4NcM
دری,صنف اول,ریاضی,درس هفتم,-مشق و تمرین علایم = جلسه 41,https://www.youtube.com/embed/pUWubbcUz9g
دری,صنف اول,ریاضی,درس هشتم,موضوع عدد شش جلسه 32,https://www.youtube.com/embed/7JvpTd1ujgI
دری,صنف اول,ریاضی,درس هشتم,عدد شش جلسه 33,https://www.youtube.com/embed/KVVpuo5kZqk
دری,صنف اول,ریاضی,درس هشتم,عدد شش جلسه 34,https://www.youtube.com/embed/yZck7fbOzAo
دری,صنف اول,ریاضی,درس نهم,عدد 7 و 8 جلسه 35,https://www.youtube.com/embed/0kZQXA5dyRk
